database/_name,database/__text,source-app/_name,source-app/__text,ref-type/_name,ref-type/__text,contributors/authors/author/0,contributors/authors/author/1,contributors/authors/author/2,contributors/authors/author/3,contributors/authors/author/4,contributors/authors/author/5,titles/title,periodical/full-title,pages,dates/year,dates/pub-dates/date,publisher,remote-database-name,urls/pdf-urls/url/0,urls/text-urls/url/0,custom3,contributors/authors/author/6,titles/secondary-title,volume,number,issue,titles/short-title,urls/text-urls/url/1,research-notes,custom2,contributors/authors/author/7,contributors/authors/author/8,contributors/authors/author/9,work-type,misc2,keywords/keyword/0,keywords/keyword/1,keywords/keyword/2,keywords/keyword/3,keywords/keyword/4,keywords/keyword/5,keywords/keyword/6,keywords/keyword/7,keywords/keyword/8,keywords/keyword/9,keywords/keyword/10,keywords/keyword/11,keywords/keyword/12,keywords/keyword/13,keywords/keyword/14,keywords/keyword/15,keywords/keyword/16,keywords/keyword/17,keywords/keyword/18,keywords/keyword/19,keywords/keyword/20,keywords/keyword/21,keywords/keyword/22,keywords/keyword/23,keywords/keyword/24,keywords/keyword/25,keywords/keyword/26,keywords/keyword/27,keywords/keyword/28,electronic-resource-num,abstract,keywords/keyword/29,keywords/keyword/30,keywords/keyword/31,keywords/keyword/32,keywords/keyword/33,keywords/keyword/34,keywords/keyword/35,keywords/keyword/36,keywords/keyword/37,keywords/keyword/38,keywords/keyword/39,keywords/keyword/40,keywords/keyword/41,keywords/keyword/42,urls/web-urls/url/0,access-date,isbn,custom1,misc1,language,contributors/authors/author/10,periodical/abbr-1,contributors/secondary-authors/author/0,contributors/secondary-authors/author/1,titles/tertiary-title,pub-location,keywords/keyword/43,keywords/keyword/44,contributors/secondary-authors/author/2,contributors/secondary-authors/author/3,contributors/secondary-authors/author/4,contributors/secondary-authors/author/5,contributors/secondary-authors/author/6,contributors/secondary-authors/author/7,contributors/secondary-authors/author/8,contributors/secondary-authors/author/9,contributors/secondary-authors/author/10,contributors/secondary-authors/author/11,contributors/authors/author/11,contributors/authors/author/12,contributors/authors/author/13,contributors/authors/author/14,contributors/authors/author/15,contributors/authors/author/16,contributors/authors/author/17,contributors/authors/author/18,contributors/authors/author/19,contributors/authors/author/20,contributors/authors/author/21,contributors/authors/author/22,contributors/authors/author/23,contributors/tertiary-authors/author/0
MyLibrary,MyLibrary,Zotero,Zotero,Web Page,12,,,,,,,Bluetooth Low Energy for Autonomous Human-Robot Interaction | Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,,,,,,,,C:\Users\StanS\Zotero\storage\BJB9RU8C\3029798.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.acm.org/doi/abs/10.1145/3029798.3036663,2020-03-27 13:15:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Silva Ortigoza, Ramon","Garcia Sanchez, Jose Rafael","Hernandez Guzman, Victor Manuel","Marquez Sanchez, Celso","Marcelino Aranda, Mariana",,Trajectory Tracking Control for a Differential Drive Wheeled Mobile Robot Considering the Dynamics Related to the Actuators and Power Stage,IEEE Latin America Transactions,657-664,2016,February 2016,,IEEE Xplore,,C:\Users\StanS\Zotero\storage\PYKM5PXC\7437207.html,,,IEEE Latin America Transactions,14,2,2,,,,,,,,,,trajectory control,mobile robots,Mobile robots,control system synthesis,Actuators,motor drives,Robustness,robot dynamics,Vehicle dynamics,variable structure systems,actuator,cascade control,Cascade control,DC motor,DC/DC Buck power converter,differential drive wheeled mobile robot,differential flatness,Flat system,Input-output linearization,input-output linearization control,linear systems,mechanical structure,parametric uncertainty,Pi control,PI control,power stage,robust control,robustness,sensorless control,10.1109/TLA.2016.7437207,"In this work a three-level controller that carries out the trajectory tracking task for a differential drive wheeled mobile robot (WMR) is presented. Such a controller considers, for the first time in literature, the dynamics associated with the three subsystems that compose a WMR, i.e., mechanical structure, actuators, and power stage. The high level corresponds to an input-output linearization control for the mechanical structure; the medium level is based on two sensorless controls designed via differential flatness for the actuators; and the low level is related to two cascade controls based on sliding modes and PI control for the power stage. The performance and robustness of the controller is verified and shown via realistic simulations when parametric uncertainties associated with the subsystems that compose the WMR are considered.",sensorless machine control,sliding mode control,Sliding mode control,three-level controller,Trajectory tracking,trajectory tracking control,Wheeled mobile robot,WMR,,,,,,,,,1548-0992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Patent,25,"Blackwell, Trevor","Casner, Daniel","Nelson, Benjamin","Wiley, Scott",,,Self-balancing robot including an ultracapacitor power source,,,2011,2011-10-18,Anybots Inc,,C:\Users\StanS\Zotero\storage\KLKXDRLZ\Blackwell et al. - 2011 - Self-balancing robot including an ultracapacitor p.pdf,,US,,,,,,,,,2011-10-18,,,,,,robot,angle,configured,power,power source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://patents.google.com/patent/US8041456B1/en,2020-03-27 13:15:58,US8041456B1,2008-10-22,"US12/255,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Tsukahara, Kiyoshi","Tanaka, Yorihiko","Takasu, Norihiko","Hori, Ryosuke","He, Yingxin","Tatematsu, Hiroki",Vision for a Power Distribution Line Maintenance Robot -Environments Input,2006 IEEE International Symposium on MicroNanoMechanical and Human Science,1-6,2006,November 2006,,IEEE Xplore,,C:\Users\StanS\Zotero\storage\6Z5ERR7S\4110375.html,2006 IEEE International Symposium on MicroNanoMechanical and Human Science,"Tatsuno, Kyouichi",2006 IEEE International Symposium on MicroNanoMechanical and Human Science,,,,,,,,,,,,,Robot kinematics,Voltage,power distribution,robot vision,Robot vision systems,service robots,automatically superimposing method,Cable insulation,Databases,manually pointing method,manually superimposing method,Mouth,power distribution line maintenance robot,Power distribution lines,power system management,Power system modeling,power transmission lines,Robotics and automation,switch gear installation,Switches,vision system,,,,,,,,,10.1109/MHS.2006.320237,"This paper describes a vision system for a power distribution line maintenance robot. The robot will perform a task, for example, a switch gear installation task automatically. To perform the task, 3D model of work environments are constructed in a computer. Target positions for robot commands are generated using the work environment 3D model. We investigated three methods to superimpose 3D frame models of working environment parts on the photographs: 1) Manually superimposing method by a mouth, 2) Manually pointing method, and 3) Automatically superimposing method.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Web Page,12,,,,,,,"Strong Magnetic Units for a Wind Power Tower Inspection and Maintenance Robot - Xueshan Gao, Jie Shao, Fuquan Dai, Chengguo Zong, Wenzeng Guo, Yang Bai, 2012",,,,,,,,C:\Users\StanS\Zotero\storage\2I2S936G\53780.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://journals.sagepub.com/doi/full/10.5772/53780,2020-03-27 13:16:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Ranaweera, R. K. P. S.","Jayasiri, W. A. T. I.","Tharaka, W. G. D.","Gunasiri, J. H. H. P.","Gopura, R. A. R. C.","Jayawardena, T. S. S.",Anthro-X: Anthropomorphic lower extremity exoskeleton robot for power assistance,"2018 4th International Conference on Control, Automation and Robotics (ICCAR)",82-87,2018,April 2018,,IEEE Xplore,,C:\Users\StanS\Zotero\storage\2KDBIJZT\8384649.html,"2018 4th International Conference on Control, Automation and Robotics (ICCAR)","Mann, G. K. I.","2018 4th International Conference on Control, Automation and Robotics (ICCAR)",,,,Anthro-X,,,,,,,,,Hip,Knee,Legged locomotion,Joints,robot kinematics,mobile robots,humanoid robots,medical robotics,Anthro-X,anthropomorphic architecture,anthropomorphic LEE robot,anthropomorphic lower extremity exoskeleton robot,articulated mechanism,artificial limbs,compatible joint axes,DoF,Exoskeletons,external power supply,hip joint,human intelligence,human-robot interaction,human-robot interface,kinematic compliance,kinematic conformity,knee joint,knee joints,lower extremity exoskeleton robot,machine power,modular design,10.1109/ICCAR.2018.8384649,"Lower extremity exoskeleton (LEE) robots are wearable devices that combine human intelligence with machine power to help perform functions of the limbs as intended by the user. Recently, anthropomorphic LEE solutions have gained wide spread interest to remedy the interference issues encountered at the human-robot interface. In that context, this paper presents a multi-degrees of freedom modular power-assist LEE robot with compatible joint axes to enhance kinematic compliance. The proposed LEE, named Anthro-X, supports all three DoF at the hip joint using a novel articulated mechanism. The polycentric motion of the knee joint is also facilitated using a unique mechanism based on four-bar linkage system. In total, Anthro-X has five DoF per limb where sagittal plane motions of hip and knee joints are powered by external power supply and others are passively supported. The prototype of the proposed LEE robot was fitted on a male subject to verify the kinematic conformity of hip and knee joint mechanisms. Experiments were then conducted to evaluate the effects of providing power assistance using Anthro-X during squatting exercises. Results indicate that the proposed design can be readily adapted for wide range of applications requiring motion or power assistance owing to its modular and anthropomorphic architecture.",multidegre-of-freedom modular power-assist LEE robot,power assistance,sagittal plane motions,squatting exercises,wearable devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Patent,25,"Connell, II Jonathan Hudson","Das, Rajarshi","Hamann, Hendrik F.","Isci, Canturk","Kephart, Jeffrey Owen","Klein, Levente Ioan",Detecting Energy and Environmental Leaks In Indoor Environments Using a Mobile Robot,,,2012,2012-03-29,International Business Machines Corp,,C:\Users\StanS\Zotero\storage\H6W3XEHU\Connell et al. - 2012 - Detecting Energy and Environmental Leaks In Indoor.pdf,,US,"Lenchner, Jonathan",,,,,,,,2012-03-29,"Schappert, Michael Alan",,,,,robot,robots,air flow,building,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://patents.google.com/patent/US20120078417A1/en,2020-03-27 13:16:26,US20120078417A1,2010-09-28,"US12/892,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Kim, Jin C.","Lee, Jong L.","Yoon, Yong S.","Alotaibi, Abdulrahman M.","Kim, Jihun",,Utility of indocyanine-green fluorescent imaging during robot-assisted sphincter-saving surgery on rectal cancer patients,The International Journal of Medical Robotics and Computer Assisted Surgery,710-717,2016,2016,,Wiley Online Library,,C:\Users\StanS\Zotero\storage\HEA22BWM\rcs.html,,,The International Journal of Medical Robotics and Computer Assisted Surgery,12,4,4,,,,,,,,,,fluorescence,indocyanine green,rectal cancer,robot-assisted,sphincter-saving operation,,,,,,,,,,,,,,,,,,,,,,,,,10.1002/rcs.1710,"Background There have been few studies describing the use of indocyanine green (ICG) fluorescent imaging during robot-assisted (RA) sphincter-saving operations (SSOs) and assessing its potential role in reducing anastomotic leak (AL). Methods A consecutive cohort of 436 rectal cancer patients who underwent curative RA SSOs were prospectively enrolled during 2010–2014, including 123 patients with ICG imaging (ICG+ group) and 313 patients without ICG imaging (ICG– group). Results ICG imaging appeared to be helpful in identifying competent perfusion of the bowel adjacent to the anastomosis in 13 patients (10.6%) who might be susceptible to bowel ischaemia, including restrictive mesocolon. AL was remarkably greater in the ICG– group compared with the ICG+ group (5.4% vs 0.8%; p = 0.031). Conclusions ICG imaging during RA SSO provides accurate real-time knowledge of the perfusion status at or near the anastomosis, specifically reducing AL in patients who may incur bowel ischaemia. Copyright © 2015 John Wiley & Sons, Ltd.",,,,,,,,,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/rcs.1710,2020-03-27 13:16:33,1478-596X,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Web Page,12,,,,,,,Service Robot Applications - Google Boeken,,,,,,,,C:\Users\StanS\Zotero\storage\Y8JJGD7W\books.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://books.google.nl/books?hl=nl&lr=&id=8AmhDwAAQBAJ&oi=fnd&pg=PA331&dq=(robot)+AND+(power+OR+green+OR+energy+OR+battery)+AND+software&ots=ZlCLHGKGA6&sig=KxqRVHWzAIUqDUFZ-ZTK0LuFt-8&redir_esc=y#v=onepage&q=(robot)%20AND%20(power%20OR%20green%20OR%20energy%20OR%20battery)%20AND%20software&f=false,2020-03-27 13:16:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Web Page,12,"Gandolfi, Marialuisa","Formaggio, Emanuela","Geroin, Christian","Storti, Silvia Francesca","Boscolo Galazzo, Ilaria","Bortolami, Marta",Quantification of Upper Limb Motor Recovery and EEG Power Changes after Robot-Assisted Bilateral Arm Training in Chronic Stroke Patients: A Prospective Pilot Study,Neural Plasticity,,2018,2018,,,C:\Users\StanS\Zotero\storage\HQGFETHN\Gandolfi et al. - 2018 - Quantification of Upper Limb Motor Recovery and EE.pdf,C:\Users\StanS\Zotero\storage\L7GL9XE6\8105480.html,,"Saltuari, Leopold",Neural Plasticity,,,,Quantification of Upper Limb Motor Recovery and EEG Power Changes after Robot-Assisted Bilateral Arm Training in Chronic Stroke Patients,,,,"Picelli, Alessandro","Waldner, Andreas","Manganotti, Paolo",Research Article,Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Background. Bilateral arm training (BAT) has shown promise in expediting progress toward upper limb recovery in chronic stroke patients, but its neural correlates are poorly understood. Objective. To evaluate changes in upper limb function and EEG power after a robot-assisted BAT in chronic stroke patients. Methods. In a within-subject design, seven right-handed chronic stroke patients with upper limb paresis received 21 sessions (3 days/week) of the robot-assisted BAT. The outcomes were changes in score on the upper limb section of the Fugl-Meyer assessment (FM), Motricity Index (MI), and Modified Ashworth Scale (MAS) evaluated at the baseline (T0), posttraining (T1), and 1-month follow-up (T2). Event-related desynchronization/synchronization were calculated in the upper alpha and the beta frequency ranges. Results. Significant improvement in all outcomes was measured over the course of the study. Changes in FM were significant at T2, and in MAS at T1 and T2. After training, desynchronization on the ipsilesional sensorimotor areas increased during passive and active movement, as compared with T0. Conclusions. A repetitive robotic-assisted BAT program may improve upper limb motor function and reduce spasticity in the chronically impaired paretic arm. Effects on spasticity were associated with EEG changes over the ipsilesional sensorimotor network.",,,,,,,,,,,,,,,https://www.hindawi.com/journals/np/2018/8105480/,2020-03-27 13:16:50,,,,en,"Smania, Nicola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Web Page,12,,,,,,,Development of Contact Model of a Robot Soft Finger for Power Grasping and Determination of Its Contact width - ProQuest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Explore millions of resources from scholarly journals, books, newspapers, videos and more, on the ProQuest Platform.",,,,,,,,,,,,,,,https://search.proquest.com/openview/d80d658b2eda695627458976396bf757/1?pq-origsite=gscholar&cbl=136092,2020-03-27 13:17:00,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Xie, Li","Henkel, Christian","Stol, Karl","Xu, Weiliang",,,Power-minimization and energy-reduction autonomous navigation of an omnidirectional Mecanum robot via the dynamic window approach local trajectory planning,International Journal of Advanced Robotic Systems,1729881418754563,2018,"January 1, 2018",,SAGE Journals,C:\Users\StanS\Zotero\storage\X3W3K9RL\Xie et al. - 2018 - Power-minimization and energy-reduction autonomous.pdf,,,,International Journal of Advanced Robotic Systems,15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1177/1729881418754563,"To improve the energy efficiency of the Mecanum wheel, this article extends the dynamic window approach by adding a new energy-related criterion for minimizing the power consumption of autonomous mobile robots. The energy consumption of the Mecanum robot is first modeled by considering major factors. Then, the model is utilized in the extended dynamic window approach–based local trajectory planner to additionally evaluate the omnidirectional velocities of the robot. Based on the new trajectory planning objective that minimizes power consumption, energy-reduction autonomous navigation is proposed via the combinational cost objectives of low power consumption and high speed. Comprehensive experiments are performed in various autonomous navigation task scenarios, to validate the energy consumption model and to show the effectiveness of the proposed technique in minimizing the power consumption and reducing the energy consumption. It is observed that the technique effectively takes advantage of the Mecanum robot’s redundant maneuverability, can cope with any type of path and is able to fulfil online obstacle avoidance.",,,,,,,,,,,,,,,https://doi.org/10.1177/1729881418754563,2020-03-27 13:17:55,1729-8814,,,en,,International Journal of Advanced Robotic Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Ito, Shiro","Ichiyanagi, Takayuki","Maekawa, Naoki","Murata, Takuya","Yamamoto, Yusuke","Tatsuno, Kyoichi",The simulation of Semi-Autonomous Remote power distribution task robot,2010 International Symposium on Micro-NanoMechatronics and Human Science,214-219,2010,November 2010,,IEEE Xplore,,C:\Users\StanS\Zotero\storage\NIS4G4KC\5669531.html,2010 International Symposium on Micro-NanoMechatronics and Human Science,,2010 International Symposium on Micro-NanoMechatronics and Human Science,,,,,,,,,,,,,Acceleration,Robots,Libraries,mobile robots,telerobotics,Databases,Argon,insulator,insulators,maintenance engineering,peeling electric cable cover,power cable insulation,power distribution line maintenance,power distribution lines,semiautonomous remote maintenance robot,semiautonomous remote power distribution task robot,Shape,,,,,,,,,,,,,10.1109/MHS.2010.5669531,"We are developing a Semi-Autonomous Remote Maintenance Robot for power distribution line maintenance tasks. The system is operated by task instructions; for examples, “Peeling electric cable cover”, “Remove the insulator” and so on. When the system receives a task instruction it measures the task object position; modifies the arm positions in the move commands; and then performs the task. In this paper, we will show the developed experimental system and the experiments on performing “Peeling electric cable” in a mock-up test.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Rahman, S. M. Mizanoor","Ikeura, Ryojun",,,,,Investigating the factors affecting human's weight perception in lifting objects with a power assist robot,2012 IEEE RO-MAN: The 21st IEEE International Symposium on Robot and Human Interactive Communication,228-233,2012,Sep. 2012,,IEEE Xplore,,C:\Users\StanS\Zotero\storage\U86R3RSB\6343758.html,2012 IEEE RO-MAN: The 21st IEEE International Symposium on Robot and Human Interactive Communication,,2012 IEEE RO-MAN: The 21st IEEE International Symposium on Robot and Human Interactive Communication,,,,,,,,,,,,,Acceleration,Robots,manipulator dynamics,Humans,robot dynamics,Force,human-robot interaction,Delay,delays,force sensing,Force sensors,gravitational force,human weight perception,inertial force mass parameter,lifting equipment,lifting objects,load force,position sensing,power assist robot,power assisted manipulation,power assisted object,servomotor,Servomotors,time delays,,,,,,10.1109/ROMAN.2012.6343758,"A power assist robot reduces perceived weight of objects lifted with it. However, root cause of reduced heaviness and factors affecting the heaviness are still unclear though the knowledge on the root cause/factors could be used to modulate human's feelings and the interactions between human and robot. This paper investigated the causes/factors behind the reduced heaviness. We adopted two strategies for this. Firstly, we included weight perception in robot dynamics (and control) in such a way that the mass parameter of the inertial force was considered different from that of the gravitational force because the perceived weight is different from the actual weight. Secondly, we compared weight perception, load forces and motions for power-assisted manipulation to that for manual manipulation and identified some clues regarding the causes/factors of reduced heaviness. We found that perceived weight, load force and its rate, velocity and acceleration for power-assisted objects were lower than that for manually lifted objects. We observed time delays in position sensing, force sensing, servomotor etc. for the power-assisted objects, however, the delays were almost absent for the manually lifted objects. We argued that the delays were the root cause of reduced heaviness and the elements of the system contributing to the delays were the factors affecting the perceived heaviness. To cross-check it, we increased time constant of the servomotor and found that the increased time constant reduced perceived weight. The findings may be used to develop power assist robots for manipulating heavy objects in industries that may help improve/modulate interactions between robots and users.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Kiguchi, Kazuo","Kose, Yasunori","Hayashi, Yoshiaki",,,,An upper-limb power-assist exoskeleton robot with task-oriented perception-assist,2010 3rd IEEE RAS EMBS International Conference on Biomedical Robotics and Biomechatronics,88-93,2010,Sep. 2010,,IEEE Xplore,,C:\Users\StanS\Zotero\storage\XZG66XW6\5626025.html,2010 3rd IEEE RAS EMBS International Conference on Biomedical Robotics and Biomechatronics,,2010 3rd IEEE RAS EMBS International Conference on Biomedical Robotics and Biomechatronics,,,,,,,,,,,,,Trajectory,Robots,Force,medical robotics,Exoskeletons,electromyography,Electromyography,Histograms,Image color analysis,medical signal processing,patient rehabilitation,task-oriented perception-assist,upper-limb power-assist exoskeleton robot,,,,,,,,,,,,,,,,,10.1109/BIOROB.2010.5626025,"Many kinds of power-assist exoskeleton robots have been developed to assist the motion in rehabilitation and daily living of physically weak persons. A method of perception-assist has been proposed to assist not only user's motion but also the interaction with an environment, by applying the modification force to the user's motion if it is necessary. In this paper, task-oriented perception-assist is proposed to assist the daily task of physically weak persons with an upper-limb power-assist exoskeleton robot. The performing task is estimated by grasping tool in the proposed method. The effectiveness of the proposed method has been evaluated by performing experiments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Takemura, H.","Ueda, J.","Matsumoto, Y.","Ogasawara, T.",,,The influence of friction on gait and energy efficiency of the walking robot based on rhythmic control,"Proceedings of the Second International Symposium on Adaptive Motion of Animals and Machines, 2003",4,,,,CiteSeer,C:\Users\StanS\Zotero\storage\WHVKYGHC\Takemura et al. - The influence of friction on gait and energy effic.pdf,C:\Users\StanS\Zotero\storage\6GPZX899\summary.html,"Proceedings of the Second International Symposium on Adaptive Motion of Animals and Machines, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In this study, we focuse on the slip that occurs during a walking motion. By using a 3-D dynamics simulation envi-ronment, we investigate the effects that of friction condition on the gait and the energy efficiency. A correlation is found between the energy efficiency and the stride in differing fric-tion coefficients. The obtained results suggest that an effec-tive walking can be attained by changing the walking pattern through the friction condition and the walking velocity. 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Deng, Zongquan","Liu, Yiqun","Ding, Liang","Gao, Haibo","Yu, Haitao","Liu, Zhen",Motion planning and simulation verification of a hydraulic hexapod robot based on reducing energy/flow consumption,Journal of Mechanical Science and Technology,4427-4436,2015,2015-10-01,,Springer Link,,,,,Journal of Mechanical Science and Technology,29,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s12206-015-0941-0,Minimizing the energy and flow consumption is significant to realize the locomotion of a hydraulically actuated hexapod robot for mobile field applications. This paper proposes a low energy cost foot trajectory planning method to realize a constant velocity of the body and optimize the power and flow consumption of a hexapod robot. A dephased gait generating method is also proposed to decrease the flow demand. A simulation platform for hexapod robots was developed using C++ and based on the vortex physics engine. Power and flow consumption models were derived to verify the proposed methods. The simulation platform was used to verify the effectiveness of the proposed methods at optimizing the power and flow consumption.,,,,,,,,,,,,,,,https://doi.org/10.1007/s12206-015-0941-0,2020-03-27 13:23:14,1976-3824,,,en,,J Mech Sci Technol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Trenev, Vasil","Robson, Nina","Petrov, Emil",,,,VEHICLE AND ROBOT APPLICATIONS SPECIFIC DEVELOPMENT SYSTEM FOR HYBRID ENERGY STORAGES WITH NOVEL ELECTROCHEMICAL COMPONENTS,,4,2018,2018,,Zotero,C:\Users\StanS\Zotero\storage\4U5DRE9H\Trenev et al. - 2018 - VEHICLE AND ROBOT APPLICATIONS SPECIFIC DEVELOPMEN.pdf,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In the paper a system for development of hybrid energy storages, with novel electrochemical system batteries and supercapacitors, by physical testing and performance evaluation, in emulated vehicle and robot applications, is presented and discussed. The development system allows optimization by testing a wide variety of: components, capacities, storage structures, charging and discharging methods, control strategies; missions; designs of supplied object (vehicle, robot). Experimental results are reported.",,,,,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Conference Proceedings,10,"Chen, Sheng","Chen, Chih - Chen","Huang, Han-Pang","Hwu, Chen-Chain",,,Implementation of cell balancing with super-capacitor for robot power system,2011 9th World Congress on Intelligent Control and Automation,468-473,2011,June 2011,,IEEE Xplore,,C:\Users\StanS\Zotero\storage\6Y9P95SM\5970558.html,2011 9th World Congress on Intelligent Control and Automation,,2011 9th World Congress on Intelligent Control and Automation,,,,,,,,,,,,,Robots,robots,Batteries,Capacitors,Switches,Balancing,battery series balancing,capacitor switching,cell balancing,high power battery,life cycle performance,lithium battery,Lithium Battery,massive surging power,power density,power system simulation,pulse-load robot,Relays,robot power system,secondary cells,Super-capacitor,supercapacitor switching,supercapacitors,Switching circuits,Voltage control,,,,,10.1109/WCICA.2011.5970558,"To prolong battery life cycle of the robot is one of major issues which can be improved by Battery series balancing. Cell balancing is generally classified as either active or passive. The active balancing method is applied by super-capacitor switching scheme. Since super capacitor's power density and life cycle performance are better than a high power battery, it can transfer energy between cells without redundant overheads. The complementary characteristics analysis between the super-capacitor and lithium battery is introduced, and the simulation of this power system reveals a good effect under pulse-load robot. The super-capacitor applied not only absorbed massive surging power to lighten burden of the lithium battery but also balanced cells through switching. A control board with super-capacitor is realized for practical installing on robot. The simulation and experimental results has shown this method can be realized in practical environment with multiple applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyLibrary,MyLibrary,Zotero,Zotero,Journal Article,17,"Choi, JaeNeung","Jeong, Kyungmin","Seo, TaeWon",,,,Comparison of linear and torsion-based dynamic modeling of a jumping robot via energy conversion,International Journal of Precision Engineering and Manufacturing,1529-1535,2017,2017-11-01,,Springer Link,,,,,International Journal of Precision Engineering and Manufacturing,18,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s12541-017-0181-6,"Dynamic modeling is very important for estimating the movements and forces of a robot. The model is used for detailed design of the kinematic and actuator parameters and for the synthesis of a controller. An incorrect model results in poor performance or unstable operation of the robots. A jumping robot is generally modeled by switching systems for before and after jumping, and a precise model is necessary to perform effective jumping. This paper analyzes two dynamic modeling methods for a jumping robot via the energy conversion principle. The robot uses a compliant link to jump by storing kinetic energy as potential energy in elastic deflection. Linear and torsion-based dynamic models were developed, and the torsion-based model uses a pseudo-rigid-body model. The modeling results were verified by simulation and experiment, and the results shows that the simple linear model is more suitable for estimating the movement. The model can be used to determine the optimal design parameters for effective and energy-efficient jumping.",,,,,,,,,,,,,,,https://doi.org/10.1007/s12541-017-0181-6,2020-03-27 13:23:48,2005-4602,,,en,,Int. J. Precis. Eng. Manuf.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
