,Title,Item Type,Publication Year,Author
165,Intrinsically safe robot arm: Adjustable static balancing and low power actuation,journalArticle,2010.0,"Vermeulen, Mathijs; Wisse, Martijn"
166,Self-adaptive pattern formation with battery-powered robot swarms,conferencePaper,2017.0,"Li, Guannan; Švogor, Ivan; Beltrame, Giovanni"
167,Development of Power-Assist Robot Arm using pneumatic rubbermuscles with a balloon sensor,conferencePaper,2009.0,"Kadota, Kazuo; Akai, Masao; Kawashima, Kenji; Kagawa, Toshiharu"
168,The design of DSP-based corner detection for power line inspection robot,conferencePaper,2009.0,"Zuo, Qi; Guo, Zijian; Sun, Dehui; Xu, De"
169,On-board energy consumption estimation for a six-legged walking robot,bookSection,2012.0,"Rönnau, Arne; Sutter, Florian; Kerscher, Thilo; Dillmann, Rüdiger"
170,Energy-efficient bio-inspired gait planning and control for biped robot based on human locomotion analysis,journalArticle,2016.0,"Zhu, Hongbo; Luo, Minzhou; Mei, Tao; Zhao, Jianghai; Li, Tao; Guo, Fayong"
171,A climbing-flying robot for power line inspection,journalArticle,2010.0,"Katrašnik, Jaka; Pernuš, Franjo; Likar, Boštjan"
172,Dynamic modeling and energy consumption analysis of crab walking of a six-legged robot,conferencePaper,2011.0,"Roy, Shibendu Shekhar; Pratihar, Dilip Kumar"
173,Power system of a multi-legged walking robot,journalArticle,1992.0,"Nair, Satish S.; Singh, Rajendra; Waldron, Kenneth J.; Vohnout, Vincent J."
174,Task oriented design of robot kinematics using grid method and its application to nuclear power plant,journalArticle,2002.0,"Chang, Pyung-Hun; Park, Joon-Young"
175,A dynamic non-energy-storing guidance constraint with motion redirection for robot-assisted surgery,conferencePaper,2016.0,"Enayati, Nima; Costa, Eva C. Alves; Ferrigno, Giancarlo; De Momi, Elena"
176,Recent advancements of smart manufacturing: an example of energy-efficient robot,conferencePaper,2016.0,"Wang, Lihui; Mohammed, Abdullah; Wang, Xi Vincent; Schmidt, Bernard"
177,Collective Energy Foraging of Robot Swarms and Robot Organisms,journalArticle,2011.0,"Kernbach, Serge"
178,Energy optimal trajectory planning of an underwater robot using a genetic algorithm,journalArticle,2012.0,"Bende, Vikrant; Pathak, Pushparaj M.; Dixit, Kedar S.; Harsha, Suraj Prakash"
179,Energy saving passive-dynamic gait for a one-legged hopping robot,journalArticle,2006.0,"Cherouvim, Nicholas; Papadopoulos, Evangelos"
180,Control system of a small intelligent inspection robot for nuclear power plant use,conferencePaper,2015.0,"Pan, Erzhen; Guan, Da; Xu, Wenfu; Hu, Bingshan"
181,Adaptive perception-assist to various tasks for an upper-limb power-assist exoskeleton robot,conferencePaper,2011.0,"Kiguchi, Kazuo; Hayashi, Yoshiaki"
182,Autonomous robot auto-docking and energy management systems and methods,patent,2015.0,"Cohen, David A.; Ozick, Daniel N.; Vu, Clara; Lynch, James; Mass, Philip R."
183,Design and modeling of a lightweight and low power consumption full-scale biped robot,journalArticle,2018.0,"Folgheraiter, Michele; Aubakir, Bauyrzhan"
184,Modeling and experimental validation of the influence of robot temperature on its energy consumption,conferencePaper,2018.0,"Eggers, Kai; Knöchelmann, Elias; Tappe, Svenja; Ortmaier, Tobias"
185,Force and position control of the Philips Experimental Robot Arm in an energy based setting,thesis,2012.0,"Bol, M. E."
186,Bringing the Internet of Things along the manufacturing line: A case study in controlling industrial robot and monitoring energy consumption remotely,conferencePaper,2013.0,"Brizzi, Paolo; Conzon, Davide; Khaleel, Hussein; Tomasi, Riccardo; Pastrone, Claudio; Spirito, A. M.; Knechtel, M.; Pramudianto, Ferry; Cultrona, P."
187,On increasing energy autonomy for a one-legged hopping robot,conferencePaper,2004.0,"Papadopoulos, Evangelos; Cherouvim, Nicholas"
188,"Kinematics, dynamics and power consumption analysis of the hexapod robot during walking with tripod gait",journalArticle,2017.0,"Grzelczyk, Dariusz; Stanczyk, Bartosz; Awrejcewicz, Jan"
189,Energy Harvesting from Rotating Motion of In-Pipe Robot Cleaning Device,journalArticle,2019.0,"Abidin, AS Zainal; Sawing, T. B.; Mohamaddan, S.; Halim, H. H. A.; Annisa, J.; Muslimen, R.; Ashari, M. F.; Jamaludin, M. S."
190,Optimal control for reducing the energy consumption of a reconfigurable parallel robot,journalArticle,2013.0,"Gyurka, B.; Gherman, B.; Vaida, C.; Kovacs, I.; Pisla, D."
191,Energy efficiency of trajectory generation methods for stop-and-go aerial robot navigation,conferencePaper,2017.0,"Kreciglowa, Nadia; Karydis, Konstantinos; Kumar, Vijay"
192,Enhanced efficiency of solid-state NMR investigations of energy materials using an external automatic tuning/matching (eATM) robot,journalArticle,2017.0,"Pecher, Oliver; Halat, David M.; Lee, Jeongjae; Liu, Zigeng; Griffith, Kent J.; Braun, Marco; Grey, Clare P."
193,Field replaceable battery pack and lift counterbalance for a mobile manipulation robot,patent,2018.0,"Altman, Vladimir; Galluzzo, Thomas; Brown, Steve C."
194,Experimentation research on lower-limb power assisted robot,conferencePaper,2010.0,"Wang, Lan; Wang, Keyi"
195,Movement performance of human–robot cooperation control based on EMG-driven hill-type and proportional models for an ankle power-assist exoskeleton robot,journalArticle,2016.0,"Ao, Di; Song, Rong; Gao, Jinwu"
196,A passive-based physical bipedal robot with a dynamic and energy-efficient gait on the flat ground,journalArticle,2016.0,"Alghooneh, Mansoor; Wu, Christine Qiong; Esfandiari, Masoumeh"
197,Cognition-Based Control and Optimization Algorithms for Optimizing Human-Robot Interactions in Power-Assisted Object Manipulation.,journalArticle,2016.0,"Rahman, SM Mizanoor; Ikeura, Ryojun"
198,UB Swarm: hardware implementation of heterogeneous swarm robot with fault detection and power management,journalArticle,2016.0,"Patil, Madhav; Abukhalil, Tamer; Patel, Sarosh; Sobh, Tarek"
199,"Kinematics, dynamics and power consumption analyses for turning motion of a six-legged robot",journalArticle,2014.0,"Roy, Shibendu Shekhar; Pratihar, Dilip Kumar"
200,Trajectory tracking control for a differential drive wheeled mobile robot considering the dynamics related to the actuators and power stage,journalArticle,2016.0,"Ortigoza, Ramon Silva; Sanchez, Jose Rafael Garcia; Guzman, Victor Manuel Hernandez; Sanchez, Celso Marquez; Aranda, Mariana Marcelino"
201,Kinematic conception of a hydraulic robot applied to power line insulators maintenance,conferencePaper,2009.0,"Simas, Henrique; Barasuol, Victor; Kinceler, Roberto; Raposo, Emerson; Martins, Daniel; Pieri, Edson Roberto; De Negri, Victor Juliano; Stemmer, Marcelo; Castelan, Eugênio B.; Negreiros, Daniel Campos"
202,Wireless power transfer application in GSM controlled robot for home automation,journalArticle,2016.0,"Panda, Kaibalya Prasad; Behera, Nirakar; Biswal, Kamal Lochan"
203,On-line estimation of vehicle motion and power model parameters for skid-steer robot energy use prediction,conferencePaper,2014.0,"Pentzer, Jesse; Brennan, Sean; Reichard, Karl"
204,Anthro-X: Anthropomorphic lower extremity exoskeleton robot for power assistance,conferencePaper,2018.0,"Ranaweera, RKPS; Jayasiri, WATI; Tharaka, W. G. D.; Gunasiri, JHHP; Gopura, RARC; Jayawardena, T. S. S.; Mann, G. K. I."
205,Vision for a power distribution line maintenance robot-Environments input,conferencePaper,2006.0,"Tsukahara, Kiyoshi; Tanaka, Yorihiko; Takasu, Norihiko; Hori, Ryosuke; He, Yingxin; Tatematsu, Hiroki; Tatsuno, Kyouichi"
206,Strong magnetic units for a wind power tower inspection and maintenance robot,journalArticle,2012.0,"Gao, Xueshan; Shao, Jie; Dai, Fuquan; Zong, Chengguo; Guo, Wenzeng; Bai, Yang"
207,Self-balancing robot including an ultracapacitor power source,patent,2011.0,"Blackwell, Trevor; Casner, Daniel; Nelson, Benjamin; Wiley, Scott"
208,Electromagnetic navigation system design of the green house spraying robot,conferencePaper,2011.0,"Liu, Tao; Zhang, Bin; Jia, Jixing"
209,Bluetooth low energy for autonomous human-robot interaction,conferencePaper,2017.0,"Scheunemann, Marcus M.; Dautenhahn, Kerstin"
210,An inspection robot for high voltage power transmission line and its dynamics study,journalArticle,2008.0,"Xiao, Xiaohui; Wu, Gongping; Xiao, Hua; Dai, Jinchun"
211,Detecting Energy and Environmental Leaks in Indoor Environments Using a Mobile Robot,patent,2012.0,"Connell, II Jonathan Hudson; Das, Rajarshi; Hamann, Hendrik F.; Isci, Canturk; Kephart, Jeffrey Owen; Klein, Levente Ioan; Lenchner, Jonathan; Schappert, Michael Alan"
212,Investigating the factors affecting human's weight perception in lifting objects with a power assist robot,conferencePaper,2012.0,"Rahman, SM Mizanoor; Ikeura, Ryojun"
213,Quantification of upper limb motor recovery and EEG power changes after robot-assisted bilateral arm training in chronic stroke patients: a prospective pilot study,journalArticle,2018.0,"Gandolfi, Marialuisa; Formaggio, Emanuela; Geroin, Christian; Storti, Silvia Francesca; Boscolo Galazzo, Ilaria; Bortolami, Marta; Saltuari, Leopold; Picelli, Alessandro; Waldner, Andreas; Manganotti, Paolo"
214,Power-minimization and energy-reduction autonomous navigation of an omnidirectional Mecanum robot via the dynamic window approach local trajectory planning,journalArticle,2018.0,"Xie, Li; Henkel, Christian; Stol, Karl; Xu, Weiliang"
215,Development of contact model of a robot soft finger for power grasping and determination of its contact width,journalArticle,2009.0,"Elango, N.; Marappan, R."
216,Utility of indocyanine-green fluorescent imaging during robot-assisted sphincter-saving surgery on rectal cancer patients,journalArticle,2016.0,"Kim, Jin C.; Lee, Jong L.; Yoon, Yong S.; Alotaibi, Abdulrahman M.; Kim, Jihun"
217,An upper-limb power-assist exoskeleton robot with task-oriented perception-assist,conferencePaper,2010.0,"Kiguchi, Kazuo; Kose, Yasunori; Hayashi, Yoshiaki"
218,The influence of friction on gait and energy efficiency of the walking robot based on rhythmic control,conferencePaper,2003.0,"Takemura, H.; Ueda, J.; Matsumoto, Y.; Ogasawara, T."
219,The simulation of Semi-Autonomous Remote power distribution task robot,conferencePaper,2010.0,"Ito, Shiro; Ichiyanagi, Takayuki; Maekawa, Naoki; Murata, Takuya; Yamamoto, Yusuke; Tatsuno, Kyoichi"
220,Vehicle and Robot Applications Specific Development System for Hybrid Energy Storages with Novel Electrochemical Components,journalArticle,2018.0,"TRENEV, Vasil; ROBSON, Nina; PETROV, Emil"
221,Comparison of linear and torsion-based dynamic modeling of a jumping robot via energy conversion,journalArticle,2017.0,"Choi, JaeNeung; Jeong, Kyungmin; Seo, TaeWon"
222,Motion planning and simulation verification of a hydraulic hexapod robot based on reducing energy/flow consumption,journalArticle,2015.0,"Deng, Zongquan; Liu, Yiqun; Ding, Liang; Gao, Haibo; Yu, Haitao; Liu, Zhen"
223,Implementation of cell balancing with super-capacitor for robot power system,conferencePaper,2011.0,"Chen, Sheng; Chen, Chih-Chen; Huang, Han-Pang; Hwu, Chen-Chain"
224,Control of a brachiating robot for inspection of aerial power lines,conferencePaper,2010.0,"de Oliveira, Vinícius Menezes; Lages, Walter Fetter"
225,Time-energy optimal trajectory planning for variable stiffness actuated robot,journalArticle,2019.0,"Ji, Chen; Kong, Minxiu; Li, Ruifeng"
226,Corrosion detection robot for energized power lines,conferencePaper,2014.0,"Barbosa, Celio Fonseca; Nallin, Flávio Eduardo"
227,The Social Robot as' Charismatic Leader': A Phenomenology of Human Submission to Nonhuman Power.,conferencePaper,2014.0,"Gladden, Matthew E."
228,Industrial energy efficiency potentials: an assessment of three different robot concepts,journalArticle,2017.0,"Kurilova-Palisaitiene, Jelena; Permin, Eike; Mannheim, Tom; Buhse, K.; Lorenz, M.; Schmitt, R.; Corves, B.; Björkman, Mats"
229,Energy-aware terrain analysis for mobile robot exploration,conferencePaper,2016.0,"Otsu, Kyohei; Kubota, Takashi"
230,Development and Dynamics Simulation of De-icing Robot for Overhead Power Transmission Lines,journalArticle,2011.0,"ZHANG, Yi; SHAO, Wei; ZHU, Dalin; ZOU, Shengquan; AI, Fuzhou; ZHU, Xianfeng"
231,Time-optimal path planning with power schedules for a solar-powered ground robot,journalArticle,2016.0,"Kaplan, Adam; Kingry, Nathaniel; Uhing, Paul; Dai, Ran"
232,Dynamic coupling simulation of a power transmission line inspection robot with its flexible moving path when overcoming obstacles,conferencePaper,2007.0,"Xiao, Xiaohui; Wu, Gongping; Li, Sanping"
233,Robot assisted modular battery interchanging system,patent,2018.0,"Hassounah, Khaled"
234,A High Performance Low Power Consumption Robot Vision System,conferencePaper,2007.0,"Lu, Peng; Yuan, Kui; Zou, Wei"
235,Versatile-high power gripper for a six legged walking robot,bookSection,2014.0,"Heppner, G.; Buettner, T.; Roennau, A.; Dillmann, R."
236,Structure design of active power-assist lower limb exoskeleton APAL robot,journalArticle,2017.0,"Deng, Jing; Wang, Pengfei; Li, Mantian; Guo, Wei; Zha, Fusheng; Wang, Xin"
237,Fault tree analysis for an inspection robot in a nuclear power plant,conferencePaper,2017.0,"Ferguson, Thomas A.; Lu, Lixuan"
238,Development of posture self-balance mechanism for suspension arm power transmission line inspection robot [J],journalArticle,2011.0,"JIANG, Sheng-yuan; REN, Li-min; JIAO, Hong-zhang; LI, Jian-yong; LV, Xiang-yan"
239,A method of energy-optimal trajectory planning for palletizing robot,journalArticle,2017.0,"Liu, Yanjie; Liang, Le; Han, Haijun; Zhang, Shijie"
240,5. 8 GHz microwave power transmission system for micro-robot,journalArticle,2010.0,"Wang, Pengfei; Xiao, Jianshan; Li, Mantian; Sun, Lining"
241,Trajectory planning of 3DOF power tower climb robot,conferencePaper,2017.0,"Song, Wei; Li, Yong-Bing; Zhou, Qing; Zhang, Hai-Bing; Wan, Ling-Yun; Xu, Wen-Fu"
242,Biomechanics study of human lower limb walking: Implication for design of power-assisted robot,conferencePaper,2010.0,"Yali, Han; Xingsong, Wang"
243,"L Chun-hong2 (1. Depontoment of Mechanical Engineening, Shenyang Institute of Chemical Technology, Shengyang 110142, China; 2. Shengyang Huibo Heat Energy Equipment Co., Ltd, Shenyang 110043, China; 3. Shenyang SiAsun Robot & Automation Co., Ltd, Shenyang 110168, China); Confirmation of the Feasibility of FLUENT Software Applied to the Shell Side Fluid Numerical Simulation of the Shell-and-Tube Heat Exchanger [J]",journalArticle,2007.0,"WANG, Yan-yun; LI, Zhi-an; LIU, Hong-yu; SU, Meng; MENG, Ling-yi"
244,Time-optimal and energy-efficient trajectory generation for robot manipulator with kinematic constraints,conferencePaper,2017.0,"Lyu, He; Song, Xiangbao; Dai, Dan; Li, Jiangang; Li, Zexiang"
245,Near-infrared fluorescence imaging with indocyanine green in robot-assisted partial nephrectomy: pooled analysis of comparative studies,journalArticle,2019.0,"Veccia, Alessandro; Antonelli, Alessandro; Hampton, Lance J.; Greco, Francesco; Perdonà, Sisto; Lima, Estevão; Hemal, Ashok K.; Derweesh, Ithaar; Porpiglia, Francesco; Autorino, Riccardo"
246,Digital robot control having an improved current sensing system for power amplifiers in a digital robot control,patent,1990.0,"Daggett, Kenneth E.; Onaga, Eimei M.; Casler Jr, Richard J.; Johnson, Richard A.; Vercellotti, Leonard C."
247,Control of inspection robot for the power transmission lines based on database,conferencePaper,2008.0,"Zhibin, Ren; Yi, Ruan; Yong, Yang; Chaoyi, Zhang; Xu, Liu"
248,Neural network-based self-learning control for power transmission line deicing robot,journalArticle,2013.0,"Yang, Yimin; Wang, Yaonan; Yuan, Xiaofang; Chen, Youhui; Tan, Lei"
249,Productivity/energy optimisation of trajectories and coordination for cyclic multi-robot systems,journalArticle,2018.0,"Glorieux, Emile; Riazi, Sarmad; Lennartson, Bengt"
250,Design investigation of a coreless tubular linear generator for a Moball: A spherical exploration robot with wind-energy harvesting capability,conferencePaper,2015.0,"Asama, Junichi; Burkhardt, Matthew R.; Davoodi, Faranak; Burdick, Joel W."
251,Sustainable production automation-energy optimization of robot cells,conferencePaper,2013.0,"Wigström, Oskar; Lennartson, Bengt"
252,"Design and Application of Remote Control System in Finder, a Vibration damper Recover Robot on Power Line",conferencePaper,2017.0,"Sun, Zhen; Tang, Dawei; Kang, Ke; Huang, Zheng; Chen, Diansheng"
253,Design and Implementation of Control System for Power Distribution Room Orbital Automatic Inspection Robot,journalArticle,2016.0,"Nan, Hu; Jimuyang, Zhang; Jian, Guo; Yifei, Wu"
254,Weight-perception-based novel control of a power-assist robot for the cooperative lifting of light-weight objects,journalArticle,2012.0,"Rahman, SM Mizanoor; Ikeura, Ryojun"
255,Design and analysis of novel friction controlling mechanism with minimal energy for in-pipe robot applications,conferencePaper,2012.0,"Choi, Changrak; Chatzigeorgiou, Dimitris; Ben-Mansour, Rached; Youcef-Toumi, Kamal"
256,Design of a mobile robot for the innovation in power line inspection and maintenance,conferencePaper,2009.0,"Jian, Jin; Guoxian, Zhang; Tingyu, Zhang"
257,Design and implementation of a contact-less power charger for robot applications,journalArticle,2014.0,"Cheng, Shih-Jen; Chiu, Huang-Jen; Lo, Yu-Kang; Kuo, Shu-Wei; Jen, Kuo-Kuang; Fu, Kuo-Sheng; You, Gwo-Huei; Chen, Kun-Feng; Kao, Chien-Min"
258,Kinematic Analysis of Manipulator of Closed-chain Mechanism of Inspection Robot for Power Transmission Lines,journalArticle,2018.0,"WANG, Jidai; ZHANG, Yannan; ZHEN, Jing"
259,The study on human walking gait analysis system for the design of walking power-assisted robot,conferencePaper,2009.0,"Han, Yali; Wang, Xingsong; Fu, Chunqian; Niu, Jianqin"
260,Design of Monitoring and Transmitting System of Power Cable Pipeline Robot [J],journalArticle,2008.0,"Cheng-jun, SHAN Gu-yun HUANG; JIANG, Xiu-chen"
261,Interpretative guidelines and possible indications for indocyanine green fluorescence imaging in robot-assisted sphincter-saving operations,journalArticle,2017.0,"Kim, Jin Cheon; Lee, Jong Lyul; Park, Seong Ho"
262,A mobile robot to be applied in high-voltage power lines,journalArticle,2015.0,"Goncalves, Rogerio Sales; Carvalho, Joao Carlos Mendes"
263,3D Advanced Simulation Approach to Address Energy Consumption Issues of Robot Manipulators-An eRobotics Approach,conferencePaper,2014.0,"Kaigom, Eric Guiffo; Priggemeyer, Marc; Rossmann, Juergen"
264,Research on energy management four wheel drive robot assisted,conferencePaper,2016.0,"Du, YinBo; Si, Pengju; Xia, Lei; Wang, Da-Hong; Meng, Xian"
265,Parallel elastic elements improve energy efficiency on the STEPPR bipedal walking robot,journalArticle,2016.0,"Mazumdar, Anirban; Spencer, Steven J.; Hobart, Clinton; Salton, Jonathan; Quigley, Morgan; Wu, Tingfan; Bertrand, Sylvain; Pratt, Jerry; Buerger, Stephen P."
266,Energy based nonlinear control of underactuated brachiation robot,conferencePaper,2008.0,"Zhao, Yini; Cheng, Hongtai; Zhao, Di; Zhang, Xiaohua"
267,Control circuit for a robot power supply,patent,2003.0,"Roth, Stefan"
268,Torque optimization for a 7DOF upper-limb power-assist exoskeleton robot,conferencePaper,2011.0,"Hayashi, Yoshiaki; Dubey, Rajiv; Kiguchi, Kazuo"
269,Development of a self-balance dual-arm robot for inspection of high-voltage power transmission lines,conferencePaper,2012.0,"Songyi, Dian; Xuefeng, Wen; Hang, Dong; Tao, Weng"
270,When trees are not green: Recent developments in an off-the-shelf system for robust color and multispectral based recognition and robot control,conferencePaper,2009.0,"McConnell, Robert K."
271,From ‘labour dividend’to ‘robot dividend’: Technological change and workers’ power in South China,journalArticle,2017.0,"Huang, Yu; Sharif, Naubahar"
272,Emg-based control of a lower-limb power-assist robot,bookSection,2015.0,"Kiguchi, Kazuo; Hayashi, Yoshiaki"
273,Sensor Fault-Tolerant Control of Autonomous Inspection Robot for Power Line,journalArticle,2016.0,"WANG, Jidai; XU, Xiqing"
274,Battery replacement robot with mobile storage rack and battery replacement method,patent,2017.0,"Yang, Yong; Zhao, Jinlong; Shang, Wenzheng; Qi, Hui; Tan, Lin"
275,Energy-efficient trajectory planning for biped walking robot,conferencePaper,2006.0,"Huang, Qingjiu; Hase, Takamasa"
276,A new posture plan for the inspection robot capable of clearing obstacles in power transmission line maintenance,conferencePaper,2009.0,"Li, Zheng; Ruan, Yi; Zhang, Feng"
277,Novel Energy transfer mechanism in a running quadruped robot with one actuator per leg,journalArticle,2010.0,"Cherouvim, Nicholas; Papadopoulos, Evangelos"
278,Research on autonomous negotiation action planning for 110kV power transmission line inspection robot,conferencePaper,2008.0,"Zhou, Fengyu; Li, Yibin; Lie, Caihong; Li, Feng; Wang, Changxun; Chen, Wenwen"
279,The study of mechanical structure for a power transmission line inspection robot [J],journalArticle,2007.0,"WANG, Ji-dai; Xie, Yong; WANG, Feng-qin"
280,Impact motion control of humanoid robot BHR-5 based on the energy integral method,journalArticle,2016.0,"Meng, Fei; Chen, Xiaopeng; Yu, Zhangguo; Chen, Xuechao; Zhou, Mingliang; Huang, Qiang"
281,Study on the Bionic Structure of Inspection Robot for Power Transmission Lines,journalArticle,2017.0,"WANG, Ji-dai; ZHEN, Jing; LIU, Xiao-chen; WANG, Zhi-wei"
282,The corner detection for a mobile robot of power lines,conferencePaper,2009.0,"Zuo, Qi; Guo, Zi Jian; Xu, De"
283,Loading evaluation of the power scheduling system on the industrialized robot platform,conferencePaper,2011.0,"Wang, Ching-Kuo; Huang, Han-Pang; Huang, Wei-Fu"
284,Design and Verification of Robot Power Management Model based on Context Information,journalArticle,2012.0,"Park, Young-Nam; Kim, Jong-Young; Yoon, Hee-Byung"
285,Verification of assistive effect generated by passive power-assist device using humanoid robot,conferencePaper,2014.0,"Imamura, Yumeko; Tanaka, Takayuki; Ayusawa, Ko; Yoshida, Eiichi"
286,Human-Robot Interaction System Research for 500kV EHV Power Transmission Line Inspection Robot,conferencePaper,2012.0,"Guo, Wei Bin; Wang, Hong Guang; Sun, Peng; Ling, Lie"
287,Adaptive Terminal-sliding-mode Combination Control for Heading and Rolling of Marine Robot Based on Energy Optimization [J],journalArticle,2011.0,"Shengbin, JINHGAOY"
288,Design of a Soft Pack Battery Tab Height Detection Device Based on a Cartesian Robot,conferencePaper,2016.0,"Bi, Ming-Shuai; Mu, Jia-Song; Wang, Yu-Yin"
289,Gini coefficient-based task allocation for multi-robot systems with limited energy resources,journalArticle,2017.0,"Wu, Danfeng; Zeng, Guangping; Meng, Lingguo; Zhou, Weijian; Li, Linmin"
290,Energy based position control of jansen walking robot,conferencePaper,2013.0,"Nansai, Shunsuke; Iwase, Masami; Elara, Mohan Rajesh"
291,Design and Dynamic Simulation of a Novel Lower Extremity Exoskeleton Robot for Power Assisting,journalArticle,2016.0,"Zeng, Yishan; Wang, Daoming; Zi, Bin; Wang, Shanjie"
292,Computation of optimum consumption of energy for anthropomorphic robot driven by electric motor,bookSection,2006.0,"Siregar, Houtman P.; Martynenko, Yuri G."
293,Reducing the Energy Consumption of a Palletizing Robot through RobotStudio,conferencePaper,2019.0,"Fu, CHENG; Jing, B. A. I.; Huiyu, WANG; Xiaoguang, X. I. E."
294,Robot Path Planning Based on Local Minimum Energy [J],journalArticle,2008.0,"HUO, Wei; LIU, Da-wei; WANG, Jiang-tao"
295,Welcome to the World of the Little Green Robot,bookSection,2012.0,"Silva, Vladimir"
296,Normalized energy stability margin based analysis of omni-directional static walking of a quadruped robot on rough terrain,conferencePaper,2012.0,"Zhang, Lei; Gao, Shan"
297,Sailing robot performance: maximum speed tracking vs energy efficiency,bookSection,2012.0,"Briere, Yves"
298,Mobile Robot on High Power Transmission Line,journalArticle,2001.0,"Peters, J. F."
299,Classical and modern methods for time-constrained energy optimal motion–Application to a badminton robot,journalArticle,2013.0,"Wang, Xin; Stoev, Julian; Pinte, Gregory; Swevers, Jan"
300,Optimal Path Planning of Mobile Robot with Energy Constrained [J],journalArticle,2011.0,"CHEN, Shiming; SUN, Chaofeng; JIANG, Jihai"
301,PLX-DAQ-Based Wireless Battery Monitoring System for Obstacle Avoidance Robot,bookSection,2020.0,"Rao, MV Sreenivas; Shivakumar, M."
302,Predicting battery level analysing the behaviour of mobile robot,conferencePaper,2016.0,"Das, Pragna; Ribas-Xirgo, Lluıs"
303,Controller for controlling robot body with power-off brake,patent,2010.0,"Kamiya, Koji"
304,A new master-slave control method for implementing force sensing and energy recycling in a bilateral arm training robot,journalArticle,2011.0,"Li, Chunguang; Inoue, Yoshio; Liu, Tao; Shibata, Kyoko; Oka, Koichi"
305,Hierarchical autonomous mobile control system of a patrol robot for nuclear power plants,conferencePaper,1995.0,"Igarashi, O.; Sato, Katsuhiko; Okada, Satoshi; Hozumi, Hisashi; Shimada, Hideo; Okano, Hideharu; Ozaki, Osamu"
306,Applications of Fuel Cell Power Management System for Robot Vehicles,conferencePaper,2011.0,"Tseng, Kuo-Ching; Chiou, Feng-Jie"
307,Research into structural design and simulation of the inspection robot for ultra-high voltage power transmission lines,journalArticle,2016.0,"Bian, Yiheng"
308,An approach to object recognition for a power distribution line maintenance robot. The case of identifying a mechanical bolt to be tightened with a nut,conferencePaper,2016.0,"Koike, Motoki; Kurabe, Koichi; Yamashita, Kyohei; Kato, Yukiko; Jinno, Koji; Tatsuno, Kyoichi"
309,Analysis of pollution flashover in power system and design of manipulator applied in cleaning robot [J],journalArticle,2012.0,"Jiang, Kai; Yang, Jia-Hua"
310,The Design of Soccer Robot Based on the Mechanical Analysis with Energy Materials,conferencePaper,2012.0,"Li, Yong Bo; Liu, Hai Tao"
311,A Study on Power Li-ion Battery Pack's Management System of Robot,conferencePaper,2014.0,"Li, Jie"
312,Energy optimum reactionless path planning for capture of tumbling orbiting objects using a dual-arm robot,conferencePaper,2013.0,"Shah, S. V.; Gattupalli, A.; Misra, A. K."
313,Forecasting battery state of charge for robot missions,conferencePaper,2017.0,"Hamza, Ameer; Ayanian, Nora"
314,"Wireless power supply apparatus, filter unit and power supply apparatus for robot using the filter unit",patent,2018.0,"Sugino, Masayoshi; Yuasa, Katsumi; Hamasaki, Keisuke; Kondoh, Hiroshi; Takeda, Shigeru; Haseo, Yasuyuki"
315,The power of head tilts: Gender and cultural differences of perceived human vs human-like robot smile in service,journalArticle,2019.0,"Yu, Chung-En; Ngan, Henrique F. Boyol"
316,Super-capacitor applications on series lithium batteries for robot power management,conferencePaper,2011.0,"Chen, Sheng; Chen, Chih-Chen; Hwu, Chen-Chain; Chen, Shao-Hua; Huang, Han-Pang"
317,Autonomous robot auto-docking and energy management systems and methods,patent,2017.0,"Cohen, David A.; Ozick, Daniel N.; Vu, Clara; Lynch, James; Mass, Philip R."
318,Low-power microcontroller-based acoustic modem for underwater robot communication,conferencePaper,2010.0,"Osterloh, Christoph; Maehle, Erik"
319,Motion Planning of an Innovative Serial Robot for Energy Consumption Reduction With “On Fly” Pieces Grasping,conferencePaper,2008.0,"Menegolo, Andrea; Bussola, Roberto; Tosi, Diego"
320,A Performance Per Power Efficient Object Detector on an FPGA for Robot Operating System (ROS),conferencePaper,2018.0,"Cheng, Haoxuan; Sato, Shimpei; Nakahara, Hiroki"
321,Power Supply Management Expert System Design of Bionic Robot Fish,journalArticle,2008.0,"SONG, Yong-sheng; CHOU, Wu-sheng; LIANG, Jian-hong; WEN, Li"
322,An energy saving robot mobility diversity algorithm for wireless communications,conferencePaper,2013.0,"Licea, Daniel Bonilla; McLernon, Des; Ghogho, Mounir; Zaidi, Syed Ali Raza"
323,"Dynamic obstacle crossing by a biped robot, based on control of the propulsion energy",conferencePaper,2010.0,"Doubliez, Paul-François; Bruneau, Olivier; Ouezdou, Fethi Ben"
324,Development of the tightening nut task skill using a power distribution line maintenance experimental robot,conferencePaper,2015.0,"Tani, Eiichiro; Yamada, Hidekazu; Kato, Ryota; Kurabe, Koichi; Yamashita, Kyohei; Tatsuno, Kyoichi"
325,Surveillance and maintenance tasks with tele-operated mobile robot in nuclear power plants,journalArticle,2002.0,"Kim, Seungho; Kim, Chang Hoi; Seo, Yong Chil; Jung, Seung Ho; Lee, Nam Ho"
326,Energy expenditure of a biped walking robot: instantaneous and degree-of-freedom-based instrumentation with human gait implications,journalArticle,2017.0,"Roberts, Dustyn; Quacinella, Joseph; Kim, Joo H."
327,Geometric design of an inspection robot for 110kV power transmission lines,conferencePaper,2016.0,"Yue, Xiang; Wang, Hongguang; Yang, Yingchun; Jiang, Yong"
