,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,i1,i2,i3,i4,i5,e1,e2,e3,e4,e5
136,L5GXGG3B,conferencePaper,2006.0,"Fu, Siyao; Li, Weiming; Zhang, Yunchu; Liang, Zize; Hou, Zengguang; Tan, Min; Ye, Wenbo; Lian, Bo; Zuo, Qi",Structure-constrained obstacles recognition for power transmission line inspection robot,2006 IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,,2006,2020-03-29 14:57:30,2020-03-29 14:57:30,,3363–3368,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\JKBGZWY7\4058919.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
137,6V4MI4KL,journalArticle,2019.0,"Aivaliotis, P.; Aivaliotis, S.; Gkournelos, C.; Kokkalis, K.; Michalos, G.; Makris, S.",Power and force limiting on industrial robots for human-robot collaboration,Robotics and Computer-Integrated Manufacturing,,,,,,2019,2020-03-29 14:57:30,2020-03-29 14:57:30,,346–360,,,59.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,C:\Users\StanS\Zotero\storage\K68V8CGM\S0736584518302928.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
138,XA423MAI,conferencePaper,2014.0,"Chen, Chunchao; Li, Jinsong; Luo, Jun; Xie, Shaorong; Pu, Huayan; Cui, Ze; Gu, Jason",Analysis and simulation of kinematics of 5-DOF nuclear power station robot manipulator,2014 IEEE International Conference on Robotics and Biomimetics (ROBIO 2014),,,,,,2014,2020-03-29 14:57:54,2020-03-29 14:57:54,,2025–2030,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\W86QLUB5\7090634.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
139,44G3DDSC,conferencePaper,2016.0,"Patil, Madhav; Abukhalil, Tamer; Patel, Sarosh; Sobh, Tarek","UB robot swarm—Design, implementation, and power management",2016 12th IEEE International Conference on Control and Automation (ICCA),,,,,,2016,2020-03-29 14:57:54,2020-03-29 14:57:54,,577–582,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,"C:\Users\StanS\Zotero\storage\JR7W5W2F\Patil et al. - 2016 - UB robot swarm—Design, implementation, and power m.pdf; C:\Users\StanS\Zotero\storage\DCUDTGYA\7505339.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
140,BFH4TDVH,journalArticle,2018.0,"Shin, Hocheol; Jung, Seung Ho; Choi, You Rack; Kim, ChangHoi",Development of a shared remote control robot for aerial work in nuclear power plants,Nuclear Engineering and Technology,,,,,,2018,2020-03-29 14:57:54,2020-03-29 14:57:54,,613–618,,4,50.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,C:\Users\StanS\Zotero\storage\R2XFJFTZ\S1738573318300810.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
141,AHSRE659,conferencePaper,2016.0,"Geravand, Milad; Shahriari, Erfan; De Luca, Alessandro; Peer, Angelika",Port-based modeling of human-robot collaboration towards safety-enhancing energy shaping control,2016 IEEE International Conference on Robotics and Automation (ICRA),,,,,,2016,2020-03-29 14:57:54,2020-03-29 14:57:54,,3075–3082,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\XJPMB7J4\Geravand et al. - 2016 - Port-based modeling of human-robot collaboration t.pdf; C:\Users\StanS\Zotero\storage\CQI8RG6R\7487473.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
142,X6HJSDH6,conferencePaper,2001.0,"Wyeth, Gordon; Ball, David; Cusack, David; Ratnapala, Adrian",UQ roboroos: Achieving power and agility in a small size robot,Robot Soccer World Cup,,,,,,2001,2020-03-29 14:57:54,2020-03-29 14:57:54,,603–606,,,,,,UQ roboroos,,,,,Springer,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\HK9QVB82\Wyeth et al. - 2001 - UQ roboroos Achieving power and agility in a smal.pdf; C:\Users\StanS\Zotero\storage\Z5P4EMD7\3-540-45603-1_94.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
143,HRGS8VBY,journalArticle,2010.0,"Naderi, D.; Salehi, R.","Optimization of Power Usage and Required Torque for Delta Robot, Using Genetic Algorithm",,,,,,,2010,2020-03-29 14:57:54,2020-03-29 14:57:54,,,,,,,,,,,,,,,,,,,,Google Scholar,,Publisher: AEROSPACE MECHANICS JOURNAL,,C:\Users\StanS\Zotero\storage\EJ2X5F4Y\ViewPaper.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
144,UEEE3M2N,journalArticle,2012.0,"Gregory, John; Olivares, Alberto; Staffetti, Ernesto",Energy-optimal trajectory planning for robot manipulators with holonomic constraints,Systems & Control Letters,,,,,,2012,2020-03-29 14:57:54,2020-03-29 14:57:54,,279–291,,2,61.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,C:\Users\StanS\Zotero\storage\HXEBGJC2\S016769111100288X.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
145,IRXXT6CT,conferencePaper,2011.0,"Fung, Rong-Fong; Cheng, Yi-Hsin",Minimum-energy trajectory planning for an LCD glass-handling robot,2011 4th International Conference on Intelligent Networks and Intelligent Systems,,,,,,2011,2020-03-29 14:57:54,2020-03-29 14:57:54,,61–64,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\WBHQKHSC\6104694.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
146,BHPCTBTD,journalArticle,2011.0,"Yuan, Jing; Liu, Guangjun; Wu, Bin",Power efficiency estimation-based health monitoring and fault detection of modular and reconfigurable robot,IEEE Transactions on industrial electronics,,,,,,2011,2020-03-29 14:57:54,2020-03-29 14:57:54,,4880–4887,,10,58.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: IEEE,,C:\Users\StanS\Zotero\storage\JDR89K2V\5716671.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
147,8KGPABZH,journalArticle,2009.0,"Staicu, Stefan",Power requirement comparison in the 3-RPR planar parallel robot dynamics,Mechanism and Machine Theory,,,,,,2009,2020-03-29 14:59:26,2020-03-29 14:59:26,,1045–1057,,5,44.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,C:\Users\StanS\Zotero\storage\KFIFYGXE\S0094114X08001092.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
148,4J2MMVWQ,journalArticle,2015.0,"Pellegrinelli, Stefania; Borgia, Stefano; Pedrocchi, Nicola; Villagrossi, Enrico; Bianchi, Giacomo; Tosatti, Lorenzo Molinari",Minimization of the energy consumption in motion planning for single-robot tasks,Procedia Cirp,,,,,,2015,2020-03-29 14:59:26,2020-03-29 14:59:26,,354–359,,,29.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,C:\Users\StanS\Zotero\storage\FZEBWT9Y\S2212827115004886.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
149,ZUVBCNYQ,conferencePaper,2010.0,"Wang, Hongguang; Zhang, Fei; Jiang, Yong; Liu, Guangjun; Peng, Xiaojie",Development of an inspection robot for 500 kV EHV power transmission lines,2010 IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,,2010,2020-03-29 14:59:26,2020-03-29 14:59:26,,5107–5112,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\BZXCETXI\5651966.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
150,QLUK3ALL,journalArticle,2007.0,"Ray, Laura E.; Lever, James H.; Streeter, Alexander D.; Price, Alexander D.",Design and power management of a solar-powered “Cool Robot” for polar instrument networks,Journal of Field Robotics,,,,,,2007,2020-03-29 14:59:26,2020-03-29 14:59:26,,581–599,,7,24.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Wiley Online Library,,C:\Users\StanS\Zotero\storage\SDZ3KKC3\rob.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
151,4TZW68LT,journalArticle,2018.0,"Olesiak, Krzysztof",Analysis of the energy consumption by an industrial robot for the angular movement of individual axes,Przegląd Elektrotechniczny,,,,,,2018,2020-03-29 14:59:26,2020-03-29 14:59:26,,218–221,,,94.0,,,,,,,,,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\23GNQZXE\Olesiak - 2018 - Analysis of the energy consumption by an industria.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
152,2YD6I9AR,journalArticle,2010.0,"Vermeulen, Mathijs; Wisse, Martijn",Intrinsically safe robot arm: Adjustable static balancing and low power actuation,International Journal of Social Robotics,,,,,,2010,2020-03-29 14:59:26,2020-03-29 14:59:26,,275–288,,3,2.0,,,Intrinsically safe robot arm,,,,,,,,,,,,Google Scholar,,Publisher: Springer,,C:\Users\StanS\Zotero\storage\5QX8U3R5\Vermeulen and Wisse - 2010 - Intrinsically safe robot arm Adjustable static ba.pdf; C:\Users\StanS\Zotero\storage\NBENGGV2\s12369-010-0048-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
153,NESP4US5,conferencePaper,2017.0,"Li, Guannan; Švogor, Ivan; Beltrame, Giovanni",Self-adaptive pattern formation with battery-powered robot swarms,2017 NASA/ESA Conference on Adaptive Hardware and Systems (AHS),,,,,,2017,2020-03-29 14:59:26,2020-03-29 14:59:26,,253–260,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\RBYQ6XUI\Li et al. - 2017 - Self-adaptive pattern formation with battery-power.pdf; C:\Users\StanS\Zotero\storage\U8EDURIC\8046386.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
154,PD44UDCD,conferencePaper,2009.0,"Kadota, Kazuo; Akai, Masao; Kawashima, Kenji; Kagawa, Toshiharu",Development of Power-Assist Robot Arm using pneumatic rubbermuscles with a balloon sensor,RO-MAN 2009-The 18th IEEE International Symposium on Robot and Human Interactive Communication,,,,,,2009,2020-03-29 14:59:26,2020-03-29 14:59:26,,546–551,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\33ZHJNX8\5326335.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
155,33VKSHZF,conferencePaper,2009.0,"Zuo, Qi; Guo, Zijian; Sun, Dehui; Xu, De",The design of DSP-based corner detection for power line inspection robot,2009 4th International Conference on Computer Science & Education,,,,,,2009,2020-03-29 14:59:26,2020-03-29 14:59:26,,763–766,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\QS8KPT3L\5228133.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
156,9ZDXBW4I,bookSection,2012.0,"Rönnau, Arne; Sutter, Florian; Kerscher, Thilo; Dillmann, Rüdiger",On-board energy consumption estimation for a six-legged walking robot,Field Robotics,,,,,,2012,2020-03-29 14:59:26,2020-03-29 14:59:26,,547–554,,,,,,,,,,,World Scientific,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\PABXXW48\Rönnau et al. - 2012 - On-board energy consumption estimation for a six-l.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
157,SXTYIWM7,journalArticle,2016.0,"Zhu, Hongbo; Luo, Minzhou; Mei, Tao; Zhao, Jianghai; Li, Tao; Guo, Fayong",Energy-efficient bio-inspired gait planning and control for biped robot based on human locomotion analysis,Journal of Bionic Engineering,,,,,,2016,2020-03-29 14:59:38,2020-03-29 14:59:38,,271–282,,2,13.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Springer,,C:\Users\StanS\Zotero\storage\VAKK3VJB\S1672-6529(16)60300-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
158,K6E23GZ6,journalArticle,2010.0,"Katrašnik, Jaka; Pernuš, Franjo; Likar, Boštjan",A climbing-flying robot for power line inspection,Climbing Walk,,,,,,2010,2020-03-29 14:59:38,2020-03-29 14:59:38,,95–110,,,,,,,,,,,,,,,,,,Google Scholar,,"Publisher: University of Ljubljana Slovenia, Balkans",,C:\Users\StanS\Zotero\storage\CDE3NCUF\books.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
159,ILNDWZ5Q,conferencePaper,2011.0,"Roy, Shibendu Shekhar; Pratihar, Dilip Kumar",Dynamic modeling and energy consumption analysis of crab walking of a six-legged robot,2011 IEEE Conference on Technologies for Practical Robot Applications,,,,,,2011,2020-03-29 14:59:38,2020-03-29 14:59:38,,82–87,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\K89LSDDR\5753486.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
160,I9FWAW9R,journalArticle,1992.0,"Nair, Satish S.; Singh, Rajendra; Waldron, Kenneth J.; Vohnout, Vincent J.",Power system of a multi-legged walking robot,Robotics and autonomous systems,,,,,,1992,2020-03-29 14:59:38,2020-03-29 14:59:38,,149–163,,3,9.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,C:\Users\StanS\Zotero\storage\E9DDS4KH\092188909290051Y.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
161,D4AQJMZS,journalArticle,2002.0,"Chang, Pyung-Hun; Park, Joon-Young",Task oriented design of robot kinematics using grid method and its application to nuclear power plant,,,,,,,2002,2020-03-29 14:59:38,2020-03-29 14:59:38,,,,,,,,,,,,,,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\ZDSIRVHA\search.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
162,EQZJK5JB,conferencePaper,2016.0,"Enayati, Nima; Costa, Eva C. Alves; Ferrigno, Giancarlo; De Momi, Elena",A dynamic non-energy-storing guidance constraint with motion redirection for robot-assisted surgery,2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,,,,,2016,2020-03-29 14:59:38,2020-03-29 14:59:38,,4311–4316,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\Q9JNISM3\Enayati et al. - 2016 - A dynamic non-energy-storing guidance constraint w.pdf; C:\Users\StanS\Zotero\storage\TFUY7LLL\7759634.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
163,WA2FSNHY,conferencePaper,2016.0,"Wang, Lihui; Mohammed, Abdullah; Wang, Xi Vincent; Schmidt, Bernard",Recent advancements of smart manufacturing: an example of energy-efficient robot,Proceedings of the 26th International Conference on Flexible Automation and Intelligent Manufacturing,,,,,,2016,2020-03-29 14:59:38,2020-03-29 14:59:38,,884–892,,,,,,Recent advancements of smart manufacturing,,,,,,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\GJXWKY3Q\Wang et al. - 2016 - Recent advancements of smart manufacturing an exa.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
164,ERWUZDWL,journalArticle,2011.0,"Kernbach, Serge",Collective Energy Foraging of Robot Swarms and Robot Organisms,arXiv preprint arXiv:1111.0873,,,,,,2011,2020-03-29 14:59:38,2020-03-29 14:59:38,,,,,,,,,,,,,,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\DQP58EMU\Kernbach - 2011 - Collective Energy Foraging of Robot Swarms and Rob.pdf; C:\Users\StanS\Zotero\storage\GRTR7M4M\1111.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
165,X3EH78GP,journalArticle,2012.0,"Bende, Vikrant; Pathak, Pushparaj M.; Dixit, Kedar S.; Harsha, Suraj Prakash",Energy optimal trajectory planning of an underwater robot using a genetic algorithm,"Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering",,,,,,2012,2020-03-29 14:59:38,2020-03-29 14:59:38,,1077–1087,,8,226.0,,,,,,,,,,,,,,,Google Scholar,,"Publisher: SAGE Publications Sage UK: London, England",,C:\Users\StanS\Zotero\storage\LXL4MRTM\Bende et al. - 2012 - Energy optimal trajectory planning of an underwate.pdf; C:\Users\StanS\Zotero\storage\63G2BF58\0959651812447232.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
166,JYE2R8VP,journalArticle,2006.0,"Cherouvim, Nicholas; Papadopoulos, Evangelos",Energy saving passive-dynamic gait for a one-legged hopping robot,Robotica,,,,,,2006,2020-03-29 14:59:38,2020-03-29 14:59:38,,491–498,,4,24.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Cambridge University Press,,C:\Users\StanS\Zotero\storage\K7EG5W9Z\Cherouvim and Papadopoulos - 2006 - Energy saving passive-dynamic gait for a one-legge.pdf; C:\Users\StanS\Zotero\storage\IQW7B9N7\310716456D5D2F7DB35EDFC54E7600FD.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
167,SVIDJ7B3,conferencePaper,2015.0,"Pan, Erzhen; Guan, Da; Xu, Wenfu; Hu, Bingshan",Control system of a small intelligent inspection robot for nuclear power plant use,2015 IEEE International Conference on Information and Automation,,,,,,2015,2020-03-29 14:59:50,2020-03-29 14:59:50,,837–842,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\4HXI68JD\7279401.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
168,RGE5RW3X,conferencePaper,2011.0,"Kiguchi, Kazuo; Hayashi, Yoshiaki",Adaptive perception-assist to various tasks for an upper-limb power-assist exoskeleton robot,"2011 IEEE International Conference on Systems, Man, and Cybernetics",,,,,,2011,2020-03-29 14:59:50,2020-03-29 14:59:50,,717–722,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\ND42PJVZ\6083726.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
169,URN6FP4T,journalArticle,2018.0,"Folgheraiter, Michele; Aubakir, Bauyrzhan",Design and modeling of a lightweight and low power consumption full-scale biped robot,International Journal of Humanoid Robotics,,,,,,2018,2020-03-29 14:59:50,2020-03-29 14:59:50,,1850022,,05,15.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: World Scientific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
170,Z4YUD3HY,conferencePaper,2018.0,"Eggers, Kai; Knöchelmann, Elias; Tappe, Svenja; Ortmaier, Tobias",Modeling and experimental validation of the influence of robot temperature on its energy consumption,2018 IEEE International Conference on Industrial Technology (ICIT),,,,,,2018,2020-03-29 14:59:50,2020-03-29 14:59:50,,239–243,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
171,EF3HP48T,conferencePaper,2013.0,"Brizzi, Paolo; Conzon, Davide; Khaleel, Hussein; Tomasi, Riccardo; Pastrone, Claudio; Spirito, A. M.; Knechtel, M.; Pramudianto, Ferry; Cultrona, P.",Bringing the Internet of Things along the manufacturing line: A case study in controlling industrial robot and monitoring energy consumption remotely,2013 IEEE 18th Conference on Emerging Technologies & Factory Automation (ETFA),,,,,,2013,2020-03-29 14:59:50,2020-03-29 14:59:50,,1–8,,,,,,Bringing the Internet of Things along the manufacturing line,,,,,IEEE,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
172,S2N2XMUV,conferencePaper,2004.0,"Papadopoulos, Evangelos; Cherouvim, Nicholas",On increasing energy autonomy for a one-legged hopping robot,"IEEE International Conference on Robotics and Automation, 2004. Proceedings. ICRA'04. 2004",,,,,,2004,2020-03-29 14:59:50,2020-03-29 14:59:50,,4645–4650,,,5.0,,,,,,,,IEEE,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
173,BU323I4Z,journalArticle,2017.0,"Grzelczyk, Dariusz; Stanczyk, Bartosz; Awrejcewicz, Jan","Kinematics, dynamics and power consumption analysis of the hexapod robot during walking with tripod gait",International Journal of Structural Stability and Dynamics,,,,,,2017,2020-03-29 14:59:50,2020-03-29 14:59:50,,1740010,,05,17.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: World Scientific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
174,GEXS7GQM,journalArticle,2019.0,"Abidin, AS Zainal; Sawing, T. B.; Mohamaddan, S.; Halim, H. H. A.; Annisa, J.; Muslimen, R.; Ashari, M. F.; Jamaludin, M. S.",Energy Harvesting from Rotating Motion of In-Pipe Robot Cleaning Device,International Journal of Automotive and Mechanical Engineering,,,,,,2019,2020-03-29 14:59:50,2020-03-29 14:59:50,,6427–6436,,1,16.0,,,,,,,,,,,,,,,Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
175,XFAZY6I3,journalArticle,2013.0,"Gyurka, B.; Gherman, B.; Vaida, C.; Kovacs, I.; Pisla, D.",Optimal control for reducing the energy consumption of a reconfigurable parallel robot,IFAC Proceedings Volumes,,,,,,2013,2020-03-29 15:00:22,2020-03-29 15:00:22,,143–148,,6,46.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,C:\Users\StanS\Zotero\storage\FGEUH85J\S1474667016341982.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
176,3UYEJZB7,conferencePaper,2017.0,"Kreciglowa, Nadia; Karydis, Konstantinos; Kumar, Vijay",Energy efficiency of trajectory generation methods for stop-and-go aerial robot navigation,2017 International Conference on Unmanned Aircraft Systems (ICUAS),,,,,,2017,2020-03-29 15:00:22,2020-03-29 15:00:22,,656–662,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\4AGINEIW\7991496.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
177,LTKHMWJ9,journalArticle,2017.0,"Pecher, Oliver; Halat, David M.; Lee, Jeongjae; Liu, Zigeng; Griffith, Kent J.; Braun, Marco; Grey, Clare P.",Enhanced efficiency of solid-state NMR investigations of energy materials using an external automatic tuning/matching (eATM) robot,Journal of Magnetic Resonance,,,,,,2017,2020-03-29 15:00:22,2020-03-29 15:00:22,,127–136,,,275.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,C:\Users\StanS\Zotero\storage\AHZTHVXW\S1090780716302725.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
178,GFCRUM5P,conferencePaper,2010.0,"Wang, Lan; Wang, Keyi",Experimentation research on lower-limb power assisted robot,2010 8th World Congress on Intelligent Control and Automation,,,,,,2010,2020-03-29 15:00:22,2020-03-29 15:00:22,,1462–1467,,,,,,,,,,,IEEE,,,,,,,Google Scholar,,,,C:\Users\StanS\Zotero\storage\9RB628HG\5555071.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
179,CGTNTHTH,journalArticle,2016.0,"Ao, Di; Song, Rong; Gao, Jinwu",Movement performance of human–robot cooperation control based on EMG-driven hill-type and proportional models for an ankle power-assist exoskeleton robot,IEEE Transactions on Neural Systems and Rehabilitation Engineering,,,,,,2016,2020-03-29 15:00:22,2020-03-29 15:00:22,,1125–1134,,8,25.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: IEEE,,C:\Users\StanS\Zotero\storage\KBCSEU73\7497599.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
